category,spec_key_hash,count,min,p25,median,mean,p75,max
01_digital_devices,8d2afb88b2f10f32,3,500000,600000,700000,710000,815000,930000
01_digital_devices,47c72cf02589dbc8,3,490000,510000,530000,523333,540000,550000
01_digital_devices,9790603968ab1eaf,2,1000000,1012500,1025000,1025000,1037500,1050000
01_digital_devices,83aaa99b4138e028,2,740000,740000,740000,740000,740000,740000
01_digital_devices,0a94846326a27746,2,1800000,1925000,2050000,2050000,2175000,2300000
01_digital_devices,831a73cd87daab42,2,199000,199250,199500,199500,199750,200000
01_digital_devices,496086aa2b25b0cb,2,900000,937500,975000,975000,1012500,1050000
01_digital_devices,eb902d993ced9ffb,2,600000,620000,640000,640000,660000,680000
01_digital_devices,db7d13459220751f,2,1700000,1712500,1725000,1725000,1737500,1750000
01_digital_devices,8441989aee745501,2,3100000,3112500,3125000,3125000,3137500,3150000
01_digital_devices,66c90a39192ed4ed,2,880000,935000,990000,990000,1045000,1100000
01_digital_devices,9543204859f09cf5,2,420000,565000,710000,710000,855000,1000000
01_digital_devices,37ed222b0259df97,2,600000,700000,800000,800000,900000,1000000
