category,spec_key_hash,count,min,p25,median,mean,p75,max
02_furniture_interior,2f4c6d25c1020328,17,8000,50000,80000,131647,180000,710000
02_furniture_interior,a60a15bae053f71e,11,5000,12500,40000,54272,77500,200000
02_furniture_interior,fee5b42a4208c9e2,3,27000,31000,35000,154000,217500,400000
02_furniture_interior,5b6cbc327d4c3a6f,2,290000,315000,340000,340000,365000,390000
02_furniture_interior,84e687d97606320e,2,50000,100000,150000,150000,200000,250000
02_furniture_interior,d190c3bda89dfb6a,2,30000,30500,31000,31000,31500,32000
02_furniture_interior,0171ee00b1a83058,2,200000,230000,260000,260000,290000,320000
02_furniture_interior,70abb543f06b15f8,2,69000,71000,73000,73000,75000,77000
02_furniture_interior,72beadcd63eb0022,2,40000,42500,45000,45000,47500,50000
02_furniture_interior,dd37805076f13237,2,50000,57500,65000,65000,72500,80000
