category,spec_key_hash,count,min,p25,median,mean,p75,max
03_baby_kids,af5f2655de860f02,4,63000,128250,210000,195750,277500,300000
03_baby_kids,b9af02885fdea26a,3,100000,125000,150000,150000,175000,200000
03_baby_kids,3827baae274407fa,3,5000,11500,18000,17666,24000,30000
03_baby_kids,b4236f39dbbb5256,3,1000000,1050000,1100000,1133333,1200000,1300000
03_baby_kids,07a545cc24b1ca5a,3,80000,515000,950000,710000,1025000,1100000
03_baby_kids,e0be59f477416ad1,2,9000,14250,19500,19500,24750,30000
03_baby_kids,ffab1d38aa5bd3d5,2,120000,120000,120000,120000,120000,120000
03_baby_kids,2da9c8e9f4eee846,2,100000,115000,130000,130000,145000,160000
03_baby_kids,65773b3ae7d49b59,2,10000,25000,40000,40000,55000,70000
03_baby_kids,9fdeea6b4fd22bc1,2,120000,120000,120000,120000,120000,120000
03_baby_kids,523dd248fd11e637,2,12000,12750,13500,13500,14250,15000
03_baby_kids,704b9821bbd79a01,2,15000,16000,17000,17000,18000,19000
03_baby_kids,bca008cd8236e8cd,2,290000,291250,292500,292500,293750,295000
03_baby_kids,9dbd0d020c218cc0,2,260000,267500,275000,275000,282500,290000
03_baby_kids,da8a2fb33bf48df9,2,698000,786000,874000,874000,962000,1050000
03_baby_kids,9dff56a397a16a8d,2,450000,455000,460000,460000,465000,470000
03_baby_kids,e9dbf75dfa9dc6d1,2,60000,109750,159500,159500,209250,259000
03_baby_kids,725b9c49becf1e9d,2,750000,775000,800000,800000,825000,850000
03_baby_kids,914c261afbfa24b6,2,100000,137500,175000,175000,212500,250000
03_baby_kids,595b780d1935e0ef,2,35000,36000,37000,37000,38000,39000
03_baby_kids,9512af5bc04ade10,2,300000,310000,320000,320000,330000,340000
