category,spec_key_hash,count,min,p25,median,mean,p75,max
07_home_appliances,0d6936dba0c9e728,8,80000,192500,455000,895000,1725000,2100000
07_home_appliances,4a92bc3dd6e9e2f0,6,80000,205000,225000,238333,320000,350000
07_home_appliances,55028f2555fc7fb2,5,330000,330000,340000,354000,350000,420000
07_home_appliances,931f3ced1b1355cc,4,120000,142500,365000,512500,735000,1200000
07_home_appliances,f1b116c3cca36f3e,4,30000,180000,230000,210000,260000,350000
07_home_appliances,6c678679f3c86bff,3,650000,725000,800000,816666,900000,1000000
07_home_appliances,74551fe08169f5a1,3,650000,700000,750000,793333,865000,980000
07_home_appliances,4448fa302ecc3262,2,270000,270000,270000,270000,270000,270000
07_home_appliances,299abc1a9f700f6d,2,330000,330000,330000,330000,330000,330000
07_home_appliances,a8bdd19c8152914a,2,300000,300000,300000,300000,300000,300000
07_home_appliances,dd3efa13f7fd13aa,2,260000,260000,260000,260000,260000,260000
07_home_appliances,766253145b05e834,2,145000,147500,150000,150000,152500,155000
07_home_appliances,6ddf0194b81e99ca,2,290000,290000,290000,290000,290000,290000
07_home_appliances,d37fd22fe71fa8ca,2,370000,477500,585000,585000,692500,800000
07_home_appliances,e2586795df9fa9e3,2,650000,678750,707500,707500,736250,765000
07_home_appliances,98c9221c94e779e9,2,1200000,1262500,1325000,1325000,1387500,1450000
07_home_appliances,7097a75135d757fe,2,450000,455000,460000,460000,465000,470000
07_home_appliances,a1a8227e63554c5d,2,280000,280000,280000,280000,280000,280000
07_home_appliances,03fba8faacdac4ef,2,270000,270000,270000,270000,270000,270000
07_home_appliances,42e6be5a16782d4f,2,100000,237500,375000,375000,512500,650000
07_home_appliances,2ba33e3f009da5bc,2,680000,680000,680000,680000,680000,680000
07_home_appliances,c35115164808f0c7,2,620000,620000,620000,620000,620000,620000
07_home_appliances,1d3d3693f515d643,2,120000,120000,120000,120000,120000,120000
07_home_appliances,2744e0b99150b166,2,1000000,1000000,1000000,1000000,1000000,1000000
