category,spec_key_hash,count,min,p25,median,mean,p75,max
09_sports_leisure,54fa44507e94e5a0,9,300000,405000,690000,592222,790000,850000
09_sports_leisure,5e6cd435c83ba47f,8,190000,690000,770000,735000,815000,1090000
09_sports_leisure,63c677a05c96f4ef,4,250000,257500,332500,913750,988750,2740000
09_sports_leisure,a902d3b6927cb40e,4,210000,322500,475000,462500,615000,690000
09_sports_leisure,b521c8e0daf15017,3,790000,890000,990000,990000,1090000,1190000
09_sports_leisure,0e79361b7f887509,2,550000,610000,670000,670000,730000,790000
09_sports_leisure,72a3e6af5076baee,2,404000,490500,577000,577000,663500,750000
09_sports_leisure,97b340b48d660f7f,2,590000,665000,740000,740000,815000,890000
09_sports_leisure,296e4517de85d91f,2,105000,105750,106500,106500,107250,108000
09_sports_leisure,bc278f7be159f6c0,2,490000,490000,490000,490000,490000,490000
09_sports_leisure,f355bb14028321c1,2,70000,90000,110000,110000,130000,150000
09_sports_leisure,205e025f9134358b,2,185000,613750,1042500,1042500,1471250,1900000
09_sports_leisure,948cbbc34014b2bf,2,1300000,1425000,1550000,1550000,1675000,1800000
09_sports_leisure,d19b9390bae7fcbf,2,0,16250,32500,32500,48750,65000
