category,spec_key_hash,count,min,p25,median,mean,p75,max
13_food,9fd4b239be218073,4,21300,21300,21300,21300,21300,21300
13_food,e6c4fde25b4ab145,4,20900,20900,20900,20900,20900,20900
13_food,b4530fa07e487adc,4,37000,37000,37000,37000,37000,37000
13_food,16e934e6599f94f6,3,16000,24000,32000,29333,36000,40000
13_food,422a4640ee027c8c,3,17700,17700,17700,17700,17700,17700
13_food,f1876e3f23545f02,3,19900,19900,19900,19900,19900,19900
13_food,237850670a33f9e0,3,19500,19500,19500,19500,19500,19500
13_food,6c35fd62ba6c3abd,3,60000,60000,60000,60000,60000,60000
13_food,91b1a8317350df64,2,22000,22000,22000,22000,22000,22000
13_food,3c3de62dba1cd939,2,19500,19500,19500,19500,19500,19500
13_food,803850bd5d236494,2,18200,18200,18200,18200,18200,18200
13_food,92919dd9c99098a8,2,18900,18900,18900,18900,18900,18900
