item_id,category_name,category_code,spec_key_hash,hash_version,used_price,device_type,brand,product_line,model_name,color,condition_grade,storage_capacity,memory_ram
01_digital_devices-demo-000000,01_digital_devices,01,5c42d3e45d03e1f5,v2,180000,스마트폰,애플,아이폰8,A1905,스그,특SSS급,64GB,
01_digital_devices-demo-000001,01_digital_devices,01,d1bc430cc8582934,v2,800000,노트북,삼성,아이폰,NT940XFG-KC51E,실버,중고,128GB,
01_digital_devices-demo-000002,01_digital_devices,01,772afb723ebf8d5d,v2,199000,노트북,삼성,아이폰,NT345XLA,미드나이트,중고,64GB,
01_digital_devices-demo-000003,01_digital_devices,01,c23f89f52c00a2be,v2,1400000,스마트폰,애플,아이폰,아이폰 17 에어,핑크,SS급,512GB,
01_digital_devices-demo-000004,01_digital_devices,01,c23f89f52c00a2be,v2,1400000,스마트폰,애플,아이폰,아이폰 17 에어,레드,S급,512GB,
01_digital_devices-demo-000005,01_digital_devices,01,6ae883f6ce6a2988,v2,1050000,노트북,삼성,아이폰 16 프로맥스,NT750XGR-A51A,화이트,S급,16GB,
01_digital_devices-demo-000006,01_digital_devices,01,ab59d9e62bddde5d,v2,290000,스마트폰,애플,아이폰,아이폰12,블루,S급,64GB,
01_digital_devices-demo-000007,01_digital_devices,01,961fcf3e138c1d04,v2,220000,스마트폰,애플,아이폰11,아이폰11,화이트,SSS급,128GB,
01_digital_devices-demo-000008,01_digital_devices,01,7d1ddf199a7ba7dc,v2,350000,스마트폰,애플,아이폰,아이폰13,미드나이트,A급,128GB,
01_digital_devices-demo-000009,01_digital_devices,01,859912ee6d775b8c,v2,300000,스마트폰,애플,아이폰 12 미니,아이폰 12 미니,그린,S급,128GB,
01_digital_devices-demo-000010,01_digital_devices,01,4c5107507b23a8e6,v2,1400000,스마트폰,삼성,아이폰,아이폰 16 프로 맥스 256,미드나이트,AA급,128GB,
01_digital_devices-demo-000011,01_digital_devices,01,c21a38c2630c384f,v2,650000,스마트폰,애플,아이폰,iPhone 15,블루,S급,256GB,
01_digital_devices-demo-000012,01_digital_devices,01,636cf4d0f1c301ad,v2,800000,스마트폰,삼성,아이폰,NT750XGR-A31AS,골드,중고,128GB,
01_digital_devices-demo-000013,01_digital_devices,01,a202a43e7e3e7d53,v2,1700000,노트북,삼성,아이폰8,NT960XHA-KC71S,블랙,A급,128GB,
01_digital_devices-demo-000014,01_digital_devices,01,74e3c3d46b7cda1f,v2,1150000,스마트폰,삼성,아이폰 SE,갤럭시 북5 Pro 360,골드,A급,64GB,
01_digital_devices-demo-000015,01_digital_devices,01,031cc557d0a9f83d,v2,500000,노트북,삼성,아이폰13미니,NT950XCR-A38A,블랙,S급,128GB,
01_digital_devices-demo-000016,01_digital_devices,01,8812bddc7a3a0b05,v2,420000,노트북,삼성,아이폰,갤럭시북2,Gold,S급,256GB,
01_digital_devices-demo-000017,01_digital_devices,01,04c615197603cf46,v2,389000,노트북,삼성전자,아이폰,NT950XDA-XC78W,골드,S급,128GB,
01_digital_devices-demo-000018,01_digital_devices,01,370ad0ac44c56ffc,v2,1300000,노트북,삼성,아이폰,NT960QHA-KC71G,제트블랙,중고,256GB,
01_digital_devices-demo-000019,01_digital_devices,01,4856daa65d7b01bd,v2,1140000,스마트폰,애플,아이폰 16 프로맥스,아이폰 16 프로맥스 256GB,골드,중고,256GB,
01_digital_devices-demo-000020,01_digital_devices,01,856e4f846ca50235,v2,710000,스마트폰,애플,아이폰,아이폰16,블랙,S급,128GB,
01_digital_devices-demo-000021,01_digital_devices,01,3baa8fd38b7f3366,v2,600000,노트북,삼성,아이폰 SE,갤럭시 북2,블루,SSS급,128GB,
01_digital_devices-demo-000022,01_digital_devices,01,af3dc7dbc07c1b12,v2,740000,노트북,삼성,아이폰13미니,NT761XDA,스타라이트,특SSS급,16GB,
