item_id,category_name,category_code,spec_key_hash,hash_version,used_price,item_type,sport_category,brand,model_name,gender_target,handedness,trade_type,location_area
09_sports_leisure-demo-000000,09_sports_leisure,09,089de61793732e18,v2,490000,,,엘파마,"레이다 R5800, 에포카 E5800",,,,
09_sports_leisure-demo-000001,09_sports_leisure,09,1467ccea77b29530,v2,305000,,,야마하,EM570,,,,
09_sports_leisure-demo-000002,09_sports_leisure,09,ecbd6fc79b298491,v2,75000,,,젝시오,MP300,,,,
09_sports_leisure-demo-000003,09_sports_leisure,09,a9eba576530636d5,v2,70000,,,벨로라인,3S,,,,
09_sports_leisure-demo-000004,09_sports_leisure,09,2218ba7f211a4b1f,v2,480000,,,콘스탄틴,피타,,,,
09_sports_leisure-demo-000005,09_sports_leisure,09,5e5c67e90393ec74,v2,500000,,,엘파마,E2000D,,,,
09_sports_leisure-demo-000006,09_sports_leisure,09,14c7617b0b4dfd49,v2,572711,,,캘러웨이,크릿디 2024,,,,
09_sports_leisure-demo-000007,09_sports_leisure,09,53bfb100455982fe,v2,40000,,,마루망,BW02,,,,
09_sports_leisure-demo-000008,09_sports_leisure,09,b253ef8d387d4dc3,v2,430000,,,알톤,니모FD 에디션,,,,
09_sports_leisure-demo-000009,09_sports_leisure,09,de6653bdea0de747,v2,1550000,,,리파인드,리파인드 7,,,,
09_sports_leisure-demo-000010,09_sports_leisure,09,9e9683263e60bd03,v2,850000,,,비앙키,니로네7,,,,
09_sports_leisure-demo-000011,09_sports_leisure,09,29e51dd16d670b29,v2,430000,,,삼천리,칼라스 70,,,,
09_sports_leisure-demo-000012,09_sports_leisure,09,836709c137a7d758,v2,1080000,,,BESV,핏큐브 바이크,,,,
09_sports_leisure-demo-000013,09_sports_leisure,09,06c9f15c12797fa5,v2,1500000,,,엑스라이더,X50,,,,
09_sports_leisure-demo-000014,09_sports_leisure,09,21faeb640f6b5f8d,v2,1400000,,,마이클블라스터,아웃사이더4.0,,,,
09_sports_leisure-demo-000015,09_sports_leisure,09,a9eba576530636d5,v2,70000,,,자이언트,BW02,,,,
09_sports_leisure-demo-000016,09_sports_leisure,09,3a532c5444c484a3,v2,850000,,,테일러메이드,크릿디,,,,
09_sports_leisure-demo-000017,09_sports_leisure,09,2218ba7f211a4b1f,v2,480000,,,콘스탄틴,피타,,,,
09_sports_leisure-demo-000018,09_sports_leisure,09,c60788dbeffeeed5,v2,620000,,,트위터,R10,,,,
09_sports_leisure-demo-000019,09_sports_leisure,09,902dd503fe8808a2,v2,390000,,,이와키,펠릭스,,,,
09_sports_leisure-demo-000020,09_sports_leisure,09,3a532c5444c484a3,v2,705788,,,테일러메이드,TCR 어드밴스 2 KOM 2024,,,,
09_sports_leisure-demo-000021,09_sports_leisure,09,6acb0639029ff3ec,v2,980000,,,자이언트,TCR Advanced 1 KOM,,,,
09_sports_leisure-demo-000022,09_sports_leisure,09,9783a760b3a6a838,v2,200000,,,데이비드,712,,,,
09_sports_leisure-demo-000023,09_sports_leisure,09,5e5c67e90393ec74,v2,500000,,,엘파마,E2000D,,,,
09_sports_leisure-demo-000024,09_sports_leisure,09,e3d08fecd1d7c935,v2,1250000,,,히토미혼마,5스타,,,,
09_sports_leisure-demo-000025,09_sports_leisure,09,8bb1716b11027b5b,v2,800000,,,모토벨로,A10 프로,,,,
09_sports_leisure-demo-000026,09_sports_leisure,09,331d09bc1a47bae1,v2,200000,,,스텔스,앤썸X,,,,
09_sports_leisure-demo-000027,09_sports_leisure,09,7dc47bf16f3b5d2a,v2,600000,,,"테일러메이드, 타이틀, 카스코, rife",712,,,,
09_sports_leisure-demo-000028,09_sports_leisure,09,1c81967f18413f67,v2,3000000,,,Liv,Langma Advanced Pro Disc 0 2022,,,,
09_sports_leisure-demo-000029,09_sports_leisure,09,902dd503fe8808a2,v2,390000,,,엘로드,SQ 460,,,,
09_sports_leisure-demo-000030,09_sports_leisure,09,ba1087264dfb85fc,v2,50000,,,테일러메이드,로사 몬자,,,,
09_sports_leisure-demo-000031,09_sports_leisure,09,3f2c62d3ddc33d5d,v2,1200000,,,자이언트,Propel Advanced 1 Pro,,,,
09_sports_leisure-demo-000032,09_sports_leisure,09,77f7d8c4b64db622,v2,60000,,,모토벨로,BW02,,,,
09_sports_leisure-demo-000033,09_sports_leisure,09,e28c95436eebacd3,v2,80000,,,위더피플,프로0 디스크,,,,
09_sports_leisure-demo-000034,09_sports_leisure,09,deb6d59be8f66f19,v2,68000,,,테일러메이드,XR 포지드,,,,
09_sports_leisure-demo-000035,09_sports_leisure,09,4df50eb31c756ff4,v2,430000,,,테일러메이드,R대,,,,
09_sports_leisure-demo-000036,09_sports_leisure,09,89147ea8ac2e8a99,v2,714998,,,투어스테이지,TCR 어드밴스 2 KOM 2024,,,,
09_sports_leisure-demo-000037,09_sports_leisure,09,74350705a8efa940,v2,300000,,,트위터,레오파드30단,,,,
09_sports_leisure-demo-000038,09_sports_leisure,09,3a532c5444c484a3,v2,850000,,,테일러메이드,TCR Advanced 1 KOM,,,,
09_sports_leisure-demo-000039,09_sports_leisure,09,7e7c9696458d23b9,v2,1150000,,,캐니언,Ultimate CF SL 8.0 Di2,,,,
09_sports_leisure-demo-000040,09_sports_leisure,09,cd3713c9ddae3a6d,v2,2000000,,,SMD,V7,,,,
09_sports_leisure-demo-000041,09_sports_leisure,09,0449cf27eee055e8,v2,3700000,,,자이언트,R10,,,,
09_sports_leisure-demo-000042,09_sports_leisure,09,1bc090c4a2db5830,v2,75000,,,오디세이,화이트핫 5,,,,
09_sports_leisure-demo-000043,09_sports_leisure,09,1467ccea77b29530,v2,305000,,,야마하,칼라스 70,,,,
09_sports_leisure-demo-000044,09_sports_leisure,09,fc8711b705206014,v2,70000,,,삼천리,펠릭스,,,,
09_sports_leisure-demo-000045,09_sports_leisure,09,44fe0a8d63d807ba,v2,1250000,,,메리다,TC-201,,,,
09_sports_leisure-demo-000046,09_sports_leisure,09,e28c95436eebacd3,v2,80000,,,위더피플,엑스트론프로,,,,
09_sports_leisure-demo-000047,09_sports_leisure,09,6b866c16a2a0ef8f,v2,1300000,,,이와키,스프린트,,,,
09_sports_leisure-demo-000048,09_sports_leisure,09,89147ea8ac2e8a99,v2,741422,,,미즈노,FCR2,,,,
09_sports_leisure-demo-000049,09_sports_leisure,09,8ad7bbc8c50279cd,v2,500000,,,엔진11,크릿디 2024,,,,
09_sports_leisure-demo-000050,09_sports_leisure,09,d8ea33b0f7415503,v2,1200000,,,알톤,파이톤 20,,,,
09_sports_leisure-demo-000051,09_sports_leisure,09,d6c825bdb356bbbe,v2,550000,,,자이언트,리볼트2,,,,
09_sports_leisure-demo-000052,09_sports_leisure,09,c827bc61b2ddbd27,v2,4700000,,,Cervelo,S5,,,,
09_sports_leisure-demo-000053,09_sports_leisure,09,38790ba43769da2e,v2,108000,,,젝시오,MP600,,,,
09_sports_leisure-demo-000054,09_sports_leisure,09,3fcc8ff16e259730,v2,250000,,,히로마쓰 모토,MK-GOLD,,,,
09_sports_leisure-demo-000055,09_sports_leisure,09,e3d08fecd1d7c935,v2,1250000,,,히토미혼마,5스타,,,,
09_sports_leisure-demo-000056,09_sports_leisure,09,c827bc61b2ddbd27,v2,4700000,,,Cervelo,트러스티 러스티,,,,
09_sports_leisure-demo-000057,09_sports_leisure,09,89147ea8ac2e8a99,v2,789137,,,테일러메이드,904,,,,
09_sports_leisure-demo-000058,09_sports_leisure,09,da6f18d1009e3d50,v2,280000,,,자이언트,이스케이프2,,,,
09_sports_leisure-demo-000059,09_sports_leisure,09,e28c95436eebacd3,v2,80000,,,위더피플,U22,,,,
09_sports_leisure-demo-000060,09_sports_leisure,09,14c7617b0b4dfd49,v2,505481,,,캘러웨이,버나드 2019년식,,,,
09_sports_leisure-demo-000061,09_sports_leisure,09,2a90180f2249608b,v2,1490000,,,알톤,코디악 G7 그래블,,,,
09_sports_leisure-demo-000062,09_sports_leisure,09,d87e72a74e2fafa5,v2,990000,,,미즈노,GO9,,,,
09_sports_leisure-demo-000063,09_sports_leisure,09,2d1083b6a9ca02a6,v2,460000,,,랑케레이시,XT750,,,,
09_sports_leisure-demo-000064,09_sports_leisure,09,9e9683263e60bd03,v2,850000,,,비앙키,니로네7,,,,
09_sports_leisure-demo-000065,09_sports_leisure,09,3fcc8ff16e259730,v2,250000,,,히로마쓰 모토,MK-GOLD,,,,
09_sports_leisure-demo-000066,09_sports_leisure,09,65fb9d3cf0bd7000,v2,750000,,,투어스테이지,Z TX,,,,
09_sports_leisure-demo-000067,09_sports_leisure,09,9e9683263e60bd03,v2,850000,,,PGA,니로네7,,,,
09_sports_leisure-demo-000068,09_sports_leisure,09,4c8c752d2097023a,v2,58000,,,오디세이,크림슨 시리즈 770,,,,
09_sports_leisure-demo-000069,09_sports_leisure,09,c60788dbeffeeed5,v2,620000,,,트위터,R10,,,,
09_sports_leisure-demo-000070,09_sports_leisure,09,c60788dbeffeeed5,v2,620000,,,트위터,R10,,,,
09_sports_leisure-demo-000071,09_sports_leisure,09,14c7617b0b4dfd49,v2,210000,,,캘러웨이,V300 III,,,,
09_sports_leisure-demo-000072,09_sports_leisure,09,b542de6a42b832fb,v2,75000,,,나이키,SQ 460,,,,
09_sports_leisure-demo-000073,09_sports_leisure,09,6cdac14713f1f136,v2,990000,,,핑,MK-GOLD,,,,
09_sports_leisure-demo-000074,09_sports_leisure,09,3f2c62d3ddc33d5d,v2,1200000,,,자이언트,Propel Advanced 1 Pro,,,,
09_sports_leisure-demo-000075,09_sports_leisure,09,5bdbe8bc823762b4,v2,48000,,,로얄콜렉션,슈퍼 CV TRC,,,,
09_sports_leisure-demo-000076,09_sports_leisure,09,6ac5d7ae5952ac1e,v2,1600000,,,자이언트,플래티넘 에디션,,,,
09_sports_leisure-demo-000077,09_sports_leisure,09,5b3194901442bc35,v2,410000,,,XDS,712,,,,
09_sports_leisure-demo-000078,09_sports_leisure,09,89147ea8ac2e8a99,v2,814040,,,미즈노,프로펠 어드벤스 프로0 di2,,,,
09_sports_leisure-demo-000079,09_sports_leisure,09,3a532c5444c484a3,v2,850000,,,테일러메이드,R10,,,,
09_sports_leisure-demo-000080,09_sports_leisure,09,b5257b9dfa2d3cac,v2,1350000,,,인피자,HT500,,,,
09_sports_leisure-demo-000081,09_sports_leisure,09,218c0aa10ed7e182,v2,80000,,,Callaway,warbird,,,,
09_sports_leisure-demo-000082,09_sports_leisure,09,24a4444388f43a6e,v2,120000,,,알톤,미니 비토,,,,
09_sports_leisure-demo-000083,09_sports_leisure,09,6cdac14713f1f136,v2,790000,,,핑,EDGE,,,,
09_sports_leisure-demo-000084,09_sports_leisure,09,0f4d64d43e507526,v2,450000,,,테일러메이드+캘러웨이,SL5 디스크,,,,
09_sports_leisure-demo-000085,09_sports_leisure,09,2d1083b6a9ca02a6,v2,460000,,,랑케레이시,XT750,,,,
09_sports_leisure-demo-000086,09_sports_leisure,09,8b19c1d973325455,v2,450000,,,메리다,스컬트라300,,,,
09_sports_leisure-demo-000087,09_sports_leisure,09,89147ea8ac2e8a99,v2,795507,,,미즈노,앤썸X,,,,
09_sports_leisure-demo-000088,09_sports_leisure,09,29e51dd16d670b29,v2,430000,,,삼천리,칼라스 70,,,,
09_sports_leisure-demo-000089,09_sports_leisure,09,218c0aa10ed7e182,v2,80000,,,Callaway,warbird,,,,
09_sports_leisure-demo-000090,09_sports_leisure,09,89147ea8ac2e8a99,v2,772383,,,미즈노,이스케이프2,,,,
09_sports_leisure-demo-000091,09_sports_leisure,09,89147ea8ac2e8a99,v2,752291,,,미즈노,리볼트 어드밴스 프로 1,,,,
09_sports_leisure-demo-000092,09_sports_leisure,09,b5257b9dfa2d3cac,v2,1350000,,,인피자,HT500,,,,
09_sports_leisure-demo-000093,09_sports_leisure,09,e927129b206e03bc,v2,58000,,,삼천리,타입9,,,,
09_sports_leisure-demo-000094,09_sports_leisure,09,8b19c1d973325455,v2,450000,,,메리다,ES590,,,,
09_sports_leisure-demo-000095,09_sports_leisure,09,89147ea8ac2e8a99,v2,743648,,,미즈노,5스타,,,,
09_sports_leisure-demo-000096,09_sports_leisure,09,d41dcc34ffc9ad3d,v2,930000,,,휠러,CHILI,,,,
09_sports_leisure-demo-000097,09_sports_leisure,09,8ad7bbc8c50279cd,v2,500000,,,엔진11,크릿디 2024,,,,
09_sports_leisure-demo-000098,09_sports_leisure,09,5e5c67e90393ec74,v2,500000,,,엘파마,e2000D,,,,
09_sports_leisure-demo-000099,09_sports_leisure,09,53bfb100455982fe,v2,40000,,,마루망,5스타,,,,
09_sports_leisure-demo-000100,09_sports_leisure,09,902dd503fe8808a2,v2,390000,,,엘로드,TCR 어드밴스 2 KOM 2024,,,,
09_sports_leisure-demo-000101,09_sports_leisure,09,de6653bdea0de747,v2,1550000,,,리파인드,리파인드 7,,,,
09_sports_leisure-demo-000102,09_sports_leisure,09,dd50ef1565fdd562,v2,82000,,,젝시오,MP100,,,,
09_sports_leisure-demo-000103,09_sports_leisure,09,ba1087264dfb85fc,v2,50000,,,이와키,로사 몬자,,,,
09_sports_leisure-demo-000104,09_sports_leisure,09,09174ba9cb4d90e8,v2,280000,,,켈러웨이,R10,,,,
09_sports_leisure-demo-000105,09_sports_leisure,09,1467ccea77b29530,v2,305000,,,야마하,3S,,,,
09_sports_leisure-demo-000106,09_sports_leisure,09,06a6318c48138df1,v2,40000,,,SYARD,미니 비토,,,,
09_sports_leisure-demo-000107,09_sports_leisure,09,c60788dbeffeeed5,v2,620000,,,트위터,R10,,,,
09_sports_leisure-demo-000108,09_sports_leisure,09,3a532c5444c484a3,v2,850000,,,테일러메이드,R10,,,,
09_sports_leisure-demo-000109,09_sports_leisure,09,525b7b2c661c1235,v2,450000,,,이와키,TC-201,,,,
09_sports_leisure-demo-000110,09_sports_leisure,09,3a532c5444c484a3,v2,780704,,,테일러메이드,E-ROADSTAR,,,,
09_sports_leisure-demo-000111,09_sports_leisure,09,a3e13bf6998d3d15,v2,50000,,,PGA,5스타,,,,
09_sports_leisure-demo-000112,09_sports_leisure,09,6753400f81f23544,v2,550000,,,콘스탄틴,디스페랄,,,,
09_sports_leisure-demo-000113,09_sports_leisure,09,d41dcc34ffc9ad3d,v2,930000,,,휠러,CHILI,,,,
09_sports_leisure-demo-000114,09_sports_leisure,09,2d1083b6a9ca02a6,v2,460000,,,랑케레이시,XT750,,,,
09_sports_leisure-demo-000115,09_sports_leisure,09,29e51dd16d670b29,v2,430000,,,삼천리,칼라스 70,,,,
09_sports_leisure-demo-000116,09_sports_leisure,09,9e9683263e60bd03,v2,850000,,,비앙키,니로네7,,,,
09_sports_leisure-demo-000117,09_sports_leisure,09,9783a760b3a6a838,v2,200000,,,데이비드,e2000D,,,,
09_sports_leisure-demo-000118,09_sports_leisure,09,c827bc61b2ddbd27,v2,4700000,,,Cervelo,INPRES RMX CB FORGED,,,,
09_sports_leisure-demo-000119,09_sports_leisure,09,c425ad583137c599,v2,520000,,,트렉,마린6 2022,,,,
09_sports_leisure-demo-000120,09_sports_leisure,09,5c18029388b1f6cd,v2,130000,,,알톤,14D,,,,
09_sports_leisure-demo-000121,09_sports_leisure,09,b2605246bb437c3c,v2,530000,,,메리다,스컬트라100,,,,
09_sports_leisure-demo-000122,09_sports_leisure,09,14c7617b0b4dfd49,v2,374326,,,캘러웨이,RAZR,,,,
09_sports_leisure-demo-000123,09_sports_leisure,09,d6c825bdb356bbbe,v2,550000,,,자이언트,뉴웨이브20,,,,
09_sports_leisure-demo-000124,09_sports_leisure,09,3a532c5444c484a3,v2,573935,,,테일러메이드,핏큐브 바이크,,,,
09_sports_leisure-demo-000125,09_sports_leisure,09,3a532c5444c484a3,v2,850000,,,테일러메이드,MK-GOLD,,,,
09_sports_leisure-demo-000126,09_sports_leisure,09,3a532c5444c484a3,v2,475935,,,테일러메이드,V300 III,,,,
09_sports_leisure-demo-000127,09_sports_leisure,09,6bfd6da6a41e93a5,v2,74000,,,캘러웨이,하이퍼 ERC,,,,
09_sports_leisure-demo-000128,09_sports_leisure,09,4c8c752d2097023a,v2,58000,,,오디세이,ES590,,,,
09_sports_leisure-demo-000129,09_sports_leisure,09,6cdac14713f1f136,v2,990000,,,핑,XR 포지드,,,,
09_sports_leisure-demo-000130,09_sports_leisure,09,e3d08fecd1d7c935,v2,1250000,,,히토미혼마,5스타,,,,
09_sports_leisure-demo-000131,09_sports_leisure,09,3a532c5444c484a3,v2,438923,,,테일러메이드,Quincy,,,,
09_sports_leisure-demo-000132,09_sports_leisure,09,b34a95203b7a4c67,v2,59000,,,핑,앤서,,,,
09_sports_leisure-demo-000133,09_sports_leisure,09,0449cf27eee055e8,v2,3700000,,,자이언트,프로0 디스크,,,,
09_sports_leisure-demo-000134,09_sports_leisure,09,2d1083b6a9ca02a6,v2,460000,,,랑케레이시,XT750,,,,
09_sports_leisure-demo-000135,09_sports_leisure,09,35adb782217227f7,v2,800000,,,메리다,스컬트라 100 2025,,,,
09_sports_leisure-demo-000136,09_sports_leisure,09,d8ea33b0f7415503,v2,1200000,,,알톤,파이톤 20,,,,
09_sports_leisure-demo-000137,09_sports_leisure,09,089de61793732e18,v2,490000,,,엘파마,"레이다 R5800, 에포카 E5800",,,,
09_sports_leisure-demo-000138,09_sports_leisure,09,0e19800cbfe1cc39,v2,40000,,,헤드,JPX 포지드,,,,
09_sports_leisure-demo-000139,09_sports_leisure,09,89147ea8ac2e8a99,v2,846307,,,미즈노,GO9,,,,
09_sports_leisure-demo-000140,09_sports_leisure,09,3a532c5444c484a3,v2,721585,,,테일러메이드,3S,,,,
09_sports_leisure-demo-000141,09_sports_leisure,09,089de61793732e18,v2,490000,,,엘파마,"레이다 R5800, 에포카 E5800",,,,
09_sports_leisure-demo-000142,09_sports_leisure,09,ecbd6fc79b298491,v2,75000,,,젝시오,MP300,,,,
09_sports_leisure-demo-000143,09_sports_leisure,09,14c7617b0b4dfd49,v2,356966,,,캘러웨이,Z TX,,,,
09_sports_leisure-demo-000144,09_sports_leisure,09,cf8580d3112f937c,v2,1200000,,,슬릭엣지,MP200,,,,
09_sports_leisure-demo-000145,09_sports_leisure,09,f9ad8baf18ce3dee,v2,380000,,,요넥스,3S,,,,
09_sports_leisure-demo-000146,09_sports_leisure,09,4ef1acd64ab14163,v2,430000,,,엘파마,FCR2,,,,
09_sports_leisure-demo-000147,09_sports_leisure,09,8bb1716b11027b5b,v2,800000,,,모토벨로,A10 프로,,,,
09_sports_leisure-demo-000148,09_sports_leisure,09,b542de6a42b832fb,v2,75000,,,나이키,SQ 460,,,,
09_sports_leisure-demo-000149,09_sports_leisure,09,f1a50f97f2a77f00,v2,740000,,,투어스테이지,HT500,,,,
09_sports_leisure-demo-000150,09_sports_leisure,09,1667e1f0f2e36fff,v2,340000,,,트렉,FX1,,,,
09_sports_leisure-demo-000151,09_sports_leisure,09,06a6318c48138df1,v2,40000,,,SYARD,슈퍼 CV SFD,,,,
09_sports_leisure-demo-000152,09_sports_leisure,09,3f2c62d3ddc33d5d,v2,1200000,,,자이언트,Propel Advanced 1 Pro,,,,
09_sports_leisure-demo-000153,09_sports_leisure,09,686f4e1e317fde8b,v2,270000,,,블랙캣,D50 MTB,,,,
09_sports_leisure-demo-000154,09_sports_leisure,09,778e427bda624da6,v2,780000,,,GIOS,STILO,,,,
09_sports_leisure-demo-000155,09_sports_leisure,09,c425ad583137c599,v2,520000,,,트렉,마린6 2022,,,,
09_sports_leisure-demo-000156,09_sports_leisure,09,6acb0639029ff3ec,v2,980000,,,자이언트,TCR Advanced 1 KOM,,,,
09_sports_leisure-demo-000157,09_sports_leisure,09,a3e13bf6998d3d15,v2,50000,,,PGA,TC-201,,,,
09_sports_leisure-demo-000158,09_sports_leisure,09,b253ef8d387d4dc3,v2,430000,,,알톤,프로펠 어드벤스 프로0 di2,,,,
09_sports_leisure-demo-000159,09_sports_leisure,09,009ebecf164f7699,v2,64000,,,테일러메이드,ZTP,,,,
09_sports_leisure-demo-000160,09_sports_leisure,09,9573cd64bec5aae2,v2,160000,,,노스웨이,에딕트 15 Di2,,,,
09_sports_leisure-demo-000161,09_sports_leisure,09,a3e13bf6998d3d15,v2,50000,,,PGA,룰렛,,,,
09_sports_leisure-demo-000162,09_sports_leisure,09,8bb1716b11027b5b,v2,800000,,,모토벨로,A10 프로,,,,
09_sports_leisure-demo-000163,09_sports_leisure,09,fade30f0e035d701,v2,1200000,,,자이언트,패스트로드 어드밴스 AR 1,,,,
09_sports_leisure-demo-000164,09_sports_leisure,09,778e427bda624da6,v2,780000,,,GIOS,STILO,,,,
09_sports_leisure-demo-000165,09_sports_leisure,09,b253ef8d387d4dc3,v2,430000,,,알톤,니모FD 에디션,,,,
09_sports_leisure-demo-000166,09_sports_leisure,09,3a532c5444c484a3,v2,850000,,,테일러메이드,스케일 RC 팀 이슈 2023,,,,
09_sports_leisure-demo-000167,09_sports_leisure,09,5bdbe8bc823762b4,v2,48000,,,로얄콜렉션,FX1,,,,
09_sports_leisure-demo-000168,09_sports_leisure,09,cf8580d3112f937c,v2,1200000,,,엔진11,ES590,,,,
09_sports_leisure-demo-000169,09_sports_leisure,09,bfb5e30aeedf6b33,v2,520000,,,다이와,Langma Advanced Pro Disc 0 2022,,,,
09_sports_leisure-demo-000170,09_sports_leisure,09,54dde0f8dfb65746,v2,490000,,,메리다,904,,,,
09_sports_leisure-demo-000171,09_sports_leisure,09,d1357c04efabe243,v2,50000,,,젝시오,3000,,,,
09_sports_leisure-demo-000172,09_sports_leisure,09,89147ea8ac2e8a99,v2,858827,,,미즈노,솔레이어 105,,,,
09_sports_leisure-demo-000173,09_sports_leisure,09,14c7617b0b4dfd49,v2,513795,,,캘러웨이,프로펠 어드벤스 프로0 di2,,,,
09_sports_leisure-demo-000174,09_sports_leisure,09,fc8711b705206014,v2,70000,,,삼천리,펠릭스,,,,
09_sports_leisure-demo-000175,09_sports_leisure,09,376e30da7d76fc30,v2,17000,,,넥스젠,ND001,,,,
09_sports_leisure-demo-000176,09_sports_leisure,09,24a4444388f43a6e,v2,120000,,,코브라,미니 비토,,,,
09_sports_leisure-demo-000177,09_sports_leisure,09,3f2c62d3ddc33d5d,v2,1200000,,,자이언트,Propel Advanced 1 Pro,,,,
09_sports_leisure-demo-000178,09_sports_leisure,09,565b6d996dd0b676,v2,2000000,,,SCOTT,에딕트 15 Di2,,,,
09_sports_leisure-demo-000179,09_sports_leisure,09,e927129b206e03bc,v2,58000,,,스팔딩,타입9,,,,
09_sports_leisure-demo-000180,09_sports_leisure,09,a4c2d27566ca4ca3,v2,520000,,,KAISER,루멘스700,,,,
09_sports_leisure-demo-000181,09_sports_leisure,09,e927129b206e03bc,v2,58000,,,스팔딩,타입9,,,,
09_sports_leisure-demo-000182,09_sports_leisure,09,836709c137a7d758,v2,1080000,,,BESV,warbird,,,,
09_sports_leisure-demo-000183,09_sports_leisure,09,f1dd60067c86f9e6,v2,280000,,,테일러메이드,버나드 2019년식,,,,
09_sports_leisure-demo-000184,09_sports_leisure,09,a7aad7afb0886372,v2,100000,,,메리다,루멘스700,,,,
09_sports_leisure-demo-000185,09_sports_leisure,09,89147ea8ac2e8a99,v2,723777,,,미즈노,뉴웨이브20,,,,
09_sports_leisure-demo-000186,09_sports_leisure,09,d87e72a74e2fafa5,v2,990000,,,세임 바이커,GO9,,,,
09_sports_leisure-demo-000187,09_sports_leisure,09,96a25adb37402db9,v2,790000,,,다혼,뉴웨이브20,,,,
09_sports_leisure-demo-000188,09_sports_leisure,09,7dc47bf16f3b5d2a,v2,600000,,,"테일러메이드, 타이틀, 카스코, rife",712,,,,
