item_id,category_name,category_code,spec_key_hash,hash_version,used_price,device_type,brand,product_line,model_name,color,condition_grade,storage_capacity,memory_ram
01_digital_devices-training-000000,01_digital_devices,01,5c42d3e45d03e1f5,v2,180000,스마트폰,애플,아이폰8,A1905,스그,특SSS급,64GB,
01_digital_devices-training-000001,01_digital_devices,01,a202a43e7e3e7d53,v2,1750000,노트북,삼성,아이폰 7 플러스,NT960XHA-KC71S,핑크,특SS급,256GB,
01_digital_devices-training-000002,01_digital_devices,01,d27c8316fa589f16,v2,2500000,노트북,삼성,아이폰,NT960QHA-KD72S,스페이스 그레이,S급,32GB,
01_digital_devices-training-000003,01_digital_devices,01,6ae883f6ce6a2988,v2,1050000,노트북,삼성,아이폰8,NT750XGR-A51A,골드,SS급,64GB,
01_digital_devices-training-000004,01_digital_devices,01,007a9c44c08b085d,v2,1200000,노트북,삼성,아이폰 14 프로 맥스,NT960QGK-KC51S,화이트,S급,256GB,
01_digital_devices-training-000005,01_digital_devices,01,856e4f846ca50235,v2,710000,스마트폰,애플,아이폰,아이폰16,블랙,S급,128GB,
01_digital_devices-training-000006,01_digital_devices,01,21a99f2006b2d9cb,v2,110000,스마트폰,애플,아이폰,iPhone 6S Plus,골드,S급,64GB,
01_digital_devices-training-000007,01_digital_devices,01,33aaa3566d9bcc62,v2,2000000,스마트폰,애플,아이폰,아이폰17 PRO,레드,미개봉 새상품,512GB,
01_digital_devices-training-000008,01_digital_devices,01,af3dc7dbc07c1b12,v2,740000,노트북,삼성,iPhone,NT761XDA,Green,특SSS급,64GB,
01_digital_devices-training-000009,01_digital_devices,01,007a9c44c08b085d,v2,1200000,노트북,삼성,아이폰,NT960QGK-KC51S,화이트,중고,64GB,
01_digital_devices-training-000010,01_digital_devices,01,27f19c523dec7535,v2,220000,스마트폰,애플,아이폰 SE,아이폰 SE 2,레드,S급,128GB,
01_digital_devices-training-000011,01_digital_devices,01,c57a9149981e175f,v2,530000,노트북,삼성,아이폰,갤럭시북,퍼플,중고,128GB,
01_digital_devices-training-000012,01_digital_devices,01,d52d70baf65f411e,v2,700000,스마트폰,애플,iPhone,아이폰 15 프로,화이트,S급,128GB,
01_digital_devices-training-000013,01_digital_devices,01,f054aabd761580e5,v2,300000,스마트폰,애플,아이폰,아이폰12 미니,퍼플,S급,128GB,
01_digital_devices-training-000014,01_digital_devices,01,06762e83d12e8ce0,v2,1800000,노트북,삼성,아이폰,갤럭시북5 프로 360,스페이스 그레이,특SS급,128GB,
01_digital_devices-training-000015,01_digital_devices,01,02d3b9885076f5d8,v2,1010000,노트북,삼성,아이폰 7 플러스,갤럭시북 프로 i7,Gold,SSS급,128GB,
01_digital_devices-training-000016,01_digital_devices,01,da203e158fa47ad5,v2,1250000,노트북,삼성,아이폰,NT940XHA-KC51G,골드,S급,256GB,
01_digital_devices-training-000017,01_digital_devices,01,d99cd9fe50c60f42,v2,270000,스마트폰,애플,아이폰 SE,아이폰 SE3,미드나이트,S급,64GB,
01_digital_devices-training-000018,01_digital_devices,01,08869fef923347a7,v2,1480000,노트북,삼성,아이폰,NT961XGL-X02/C,그린,특SSS급,256GB,
01_digital_devices-training-000019,01_digital_devices,01,6e0e0c5c3d8d9974,v2,175000,스마트폰,애플,아이폰,아이폰 8,실버,특SS급,64GB,
01_digital_devices-training-000020,01_digital_devices,01,2ee0b0b5eb966d2a,v2,1750000,노트북,삼성,아이폰,갤럭시북 4 360,골드,SSS급,64GB,
01_digital_devices-training-000021,01_digital_devices,01,86a89cabfef425aa,v2,110000,스마트폰,애플,아이폰,아이폰7,블랙,B급,32GB,
01_digital_devices-training-000022,01_digital_devices,01,d52d70baf65f411e,v2,700000,스마트폰,애플,iPhone,아이폰 15 프로,화이트,S급,128GB,
01_digital_devices-training-000023,01_digital_devices,01,21a99f2006b2d9cb,v2,110000,스마트폰,애플,아이폰,iPhone 6S Plus,골드,중고,64GB,
01_digital_devices-training-000024,01_digital_devices,01,86528b1e833390bf,v2,1600000,노트북,삼성,아이폰 16 프로,NT960QHA-KC51G,화이트 티타늄,S급,256GB,
01_digital_devices-training-000025,01_digital_devices,01,09c91b2f7b1221c0,v2,930000,노트북,삼성,아이폰8,NT750XGR-A51AS,Green,A급,256GB,
01_digital_devices-training-000026,01_digital_devices,01,64b383848936af95,v2,400000,노트북,삼성,아이폰,NT951XCJ-K02/C,미드나이트,A급,32GB,
01_digital_devices-training-000027,01_digital_devices,01,f20945beb9cb7039,v2,160000,스마트폰,애플,아이폰 7 플러스,아이폰7플러스,제트블랙,A급,128G,
01_digital_devices-training-000028,01_digital_devices,01,2935f258d604e626,v2,3290000,노트북,삼성,아이폰,NT960XJG-KD72S,제트블랙,S급,128GB,
01_digital_devices-training-000029,01_digital_devices,01,e154dab38ece4f97,v2,170000,스마트폰,애플,아이폰 SE,iPhone SE2,블랙,SS급,128GB,
01_digital_devices-training-000030,01_digital_devices,01,f8fe0657125adea8,v2,395000,스마트폰,애플,아이폰13미니,아이폰 13 미니,핑크,S급,128GB,
01_digital_devices-training-000031,01_digital_devices,01,06762e83d12e8ce0,v2,1800000,노트북,삼성,아이폰 8 플러스,갤럭시북5 프로 360,골드,S급,64GB,
01_digital_devices-training-000032,01_digital_devices,01,21a99f2006b2d9cb,v2,110000,스마트폰,애플,아이폰,iPhone 6S Plus,골드,S급,64GB,
01_digital_devices-training-000033,01_digital_devices,01,f054aabd761580e5,v2,300000,스마트폰,애플,아이폰,아이폰12 미니,퍼플,S급,128GB,
01_digital_devices-training-000034,01_digital_devices,01,09c91b2f7b1221c0,v2,930000,노트북,삼성,아이폰,NT750XGR-A51AS,화이트,특SSS급,256GB,
01_digital_devices-training-000035,01_digital_devices,01,5a9a8b5d69d6a9bf,v2,200000,스마트폰,애플,아이폰,아이폰 12 미니,골드,A급,64GB,
01_digital_devices-training-000036,01_digital_devices,01,a202a43e7e3e7d53,v2,1700000,노트북,삼성,아이폰,NT960XHA-KC71S,블랙,S급,128GB,
01_digital_devices-training-000037,01_digital_devices,01,c607cd440df53afd,v2,430000,노트북,삼성,아이폰,갤럭시북 S,라벤더,AA급,128G,
01_digital_devices-training-000038,01_digital_devices,01,c57a9149981e175f,v2,490000,노트북,삼성,아이폰,갤럭시북,미드나이트,S+,256GB,
01_digital_devices-training-000039,01_digital_devices,01,7bcb3fe1e72bb3d8,v2,250000,스마트폰,Apple,아이폰14,13 mini,스타라이트,중고,128GB,
01_digital_devices-training-000040,01_digital_devices,01,8193e52170f675ca,v2,1000000,노트북,삼성,아이폰,NT751XHD-K01/B,화이트,미사용 새상품,128GB,
01_digital_devices-training-000041,01_digital_devices,01,ab59d9e62bddde5d,v2,290000,스마트폰,애플,아이폰,아이폰12,블루,S급,64GB,
