item_id,category_name,category_code,spec_key_hash,hash_version,used_price,brand,official_size,material_main,season,length_type,total_length_cm,bust_width_cm,waist_width_cm
04_womens_clothing-training-000000,04_womens_clothing,04,75f689a82cf637c3,v2,30000,메이썸,,,,,,,
04_womens_clothing-training-000001,04_womens_clothing,04,5dbc9779b7b548f1,v2,75000,르베이지,,,,,,,
04_womens_clothing-training-000002,04_womens_clothing,04,2f8de692287dc634,v2,39900,주크 ZOOC,,,,,,,
04_womens_clothing-training-000003,04_womens_clothing,04,bb4e4832f8d2200b,v2,170000,브라이드앤유,,,,,,,
04_womens_clothing-training-000004,04_womens_clothing,04,98be830cddf85a44,v2,39000,써스데이아일랜드,,,,,,,
04_womens_clothing-training-000005,04_womens_clothing,04,1437e5f1eeab025e,v2,290000,오르 orr,,,,,,,
04_womens_clothing-training-000006,04_womens_clothing,04,0d3650976c125ca5,v2,20000,프랭크썸,,,,,,,
04_womens_clothing-training-000007,04_womens_clothing,04,4f6f2a04011c0b1e,v2,58000,로엠,,,,,,,
04_womens_clothing-training-000008,04_womens_clothing,04,f5b35f8c931bcb3d,v2,50000,45번가,,,,,,,
04_womens_clothing-training-000009,04_womens_clothing,04,34a069d2a8d80c98,v2,80000,베르소,,,,,,,
04_womens_clothing-training-000010,04_womens_clothing,04,4436f1fb311f6635,v2,120000,잇미샤,,,,,,,
04_womens_clothing-training-000011,04_womens_clothing,04,44d0153b2fe1b189,v2,50000,미미스틱,,,,,,,
04_womens_clothing-training-000012,04_womens_clothing,04,1944ff7d0b621fd1,v2,630000,솔리드옴므,,,,,,,
04_womens_clothing-training-000013,04_womens_clothing,04,4feea01e8cf80763,v2,237434,산드로,,,,,,,
04_womens_clothing-training-000014,04_womens_clothing,04,bc0c875ad5e9cd28,v2,900000,막스마라,,,,,,,
04_womens_clothing-training-000015,04_womens_clothing,04,e7d1113f6cbcc78d,v2,43000,ZARA,,,,,,,
04_womens_clothing-training-000016,04_womens_clothing,04,2d2fc0a61b345a9c,v2,180000,바이미나,,,,,,,
04_womens_clothing-training-000017,04_womens_clothing,04,6721b29c4027c71e,v2,460000,Theory,,,,,,,
04_womens_clothing-training-000018,04_womens_clothing,04,eeb0ce479601a3e8,v2,25000,무누,,,,,,,
04_womens_clothing-training-000019,04_womens_clothing,04,ef2db46bc2391868,v2,89000,쥬시쥬디,,,,,,,
04_womens_clothing-training-000020,04_womens_clothing,04,c5d0f2eac8359a4f,v2,100000,BAU 브라이드앤유,,,,,,,
04_womens_clothing-training-000021,04_womens_clothing,04,31257c227efe1091,v2,30000,SJSJ,,,,,,,
04_womens_clothing-training-000022,04_womens_clothing,04,96ceff4ab8b67ea7,v2,11111,미니봉봉,,,,,,,
04_womens_clothing-training-000023,04_womens_clothing,04,1e936b21ecca9696,v2,320000,프랭키 모렐로,,,,,,,
04_womens_clothing-training-000024,04_womens_clothing,04,a3cb05ce59c58fe9,v2,50000,언더아머,,,,,,,
04_womens_clothing-training-000025,04_womens_clothing,04,c5d0f2eac8359a4f,v2,100000,BAU 브라이드앤유,,,,,,,
04_womens_clothing-training-000026,04_womens_clothing,04,1ab6f437cbae8c1f,v2,170000,maje,,,,,,,
04_womens_clothing-training-000027,04_womens_clothing,04,a91174cee3d28f9f,v2,1750000,오라리 Auralee,,,,,,,
04_womens_clothing-training-000028,04_womens_clothing,04,c5d0f2eac8359a4f,v2,100000,BAU 브라이드앤유,,,,,,,
04_womens_clothing-training-000029,04_womens_clothing,04,bf3d0c68f6a8f31d,v2,85000,MAX&CO,,,,,,,
04_womens_clothing-training-000030,04_womens_clothing,04,ef2db46bc2391868,v2,89000,쥬시쥬디,,,,,,,
04_womens_clothing-training-000031,04_womens_clothing,04,d40fd2ac1c5e0e73,v2,60000,메이윤,,,,,,,
04_womens_clothing-training-000032,04_womens_clothing,04,bc2e03df924b7564,v2,80000,럭키슈에뜨,,,,,,,
04_womens_clothing-training-000033,04_womens_clothing,04,07d8873f556891b8,v2,15000,리스트,,,,,,,
04_womens_clothing-training-000034,04_womens_clothing,04,982ab24b1efa741c,v2,60000,리본타이,,,,,,,
04_womens_clothing-training-000035,04_womens_clothing,04,027e3b18dc34b9a1,v2,145000,보브 (VOV),,,,,,,
04_womens_clothing-training-000036,04_womens_clothing,04,1e936b21ecca9696,v2,320000,프랭키 모렐로,,,,,,,
04_womens_clothing-training-000037,04_womens_clothing,04,4436f1fb311f6635,v2,120000,잇미샤,,,,,,,
04_womens_clothing-training-000038,04_womens_clothing,04,6d532a5353e2804c,v2,15000,보보쇼즈,,,,,,,
04_womens_clothing-training-000039,04_womens_clothing,04,906761d71a02966b,v2,15000,에고이스트,,,,,,,
04_womens_clothing-training-000040,04_womens_clothing,04,da053fba2577d5da,v2,450000,쎄모먼,,,,,,,
04_womens_clothing-training-000041,04_womens_clothing,04,982ab24b1efa741c,v2,60000,리본타이,,,,,,,
04_womens_clothing-training-000042,04_womens_clothing,04,1ed6f04224718e77,v2,25000,오즈세컨,,,,,,,
04_womens_clothing-training-000043,04_womens_clothing,04,4436f1fb311f6635,v2,120000,잇미샤,,,,,,,
04_womens_clothing-training-000044,04_womens_clothing,04,1fb48d40a25155ca,v2,165000,아비에무아,,,,,,,
04_womens_clothing-training-000045,04_womens_clothing,04,4feea01e8cf80763,v2,250000,산드로,,,,,,,
04_womens_clothing-training-000046,04_womens_clothing,04,4feea01e8cf80763,v2,235507,산드로,,,,,,,
04_womens_clothing-training-000047,04_womens_clothing,04,12faf7d4ed06f42e,v2,259000,보브(VOV),,,,,,,
04_womens_clothing-training-000048,04_womens_clothing,04,c05b590e8f667682,v2,290000,생로랑 SAINT LAURENT,,,,,,,
04_womens_clothing-training-000049,04_womens_clothing,04,31257c227efe1091,v2,95000,SJSJ,,,,,,,
04_womens_clothing-training-000050,04_womens_clothing,04,671ef273acc36223,v2,485000,브라운야드,,,,,,,
04_womens_clothing-training-000051,04_womens_clothing,04,a0d40d804e15b7a2,v2,80000,유아부미,,,,,,,
04_womens_clothing-training-000052,04_womens_clothing,04,0ecf05861042f123,v2,220000,유앤진,,,,,,,
04_womens_clothing-training-000053,04_womens_clothing,04,b969a1b934dbf749,v2,95000,한섬 시스템,,,,,,,
04_womens_clothing-training-000054,04_womens_clothing,04,fd8a9efd78d4ffaa,v2,110000,시스템,,,,,,,
04_womens_clothing-training-000055,04_womens_clothing,04,a8ca74ada0bf08f1,v2,290000,르에떼,,,,,,,
04_womens_clothing-training-000056,04_womens_clothing,04,e7d1113f6cbcc78d,v2,43000,ZARA,,,,,,,
04_womens_clothing-training-000057,04_womens_clothing,04,4feea01e8cf80763,v2,241787,산드로,,,,,,,
04_womens_clothing-training-000058,04_womens_clothing,04,4feea01e8cf80763,v2,158101,산드로,,,,,,,
04_womens_clothing-training-000059,04_womens_clothing,04,017b2fc30a7d264c,v2,13000,클로비스,,,,,,,
04_womens_clothing-training-000060,04_womens_clothing,04,5dbc9779b7b548f1,v2,75000,르베이지,,,,,,,
04_womens_clothing-training-000061,04_womens_clothing,04,080bddfa303fb6ac,v2,40000,아이잗바바,,,,,,,
04_womens_clothing-training-000062,04_womens_clothing,04,ef2db46bc2391868,v2,75000,쥬시쥬디,,,,,,,
04_womens_clothing-training-000063,04_womens_clothing,04,6721b29c4027c71e,v2,460000,Theory,,,,,,,
04_womens_clothing-training-000064,04_womens_clothing,04,4feea01e8cf80763,v2,166860,산드로,,,,,,,
04_womens_clothing-training-000065,04_womens_clothing,04,08b06835b9cc990d,v2,300000,메르비시앙,,,,,,,
04_womens_clothing-training-000066,04_womens_clothing,04,080bddfa303fb6ac,v2,40000,아이잗바바,,,,,,,
04_womens_clothing-training-000067,04_womens_clothing,04,07d8873f556891b8,v2,15000,리스트,,,,,,,
04_womens_clothing-training-000068,04_womens_clothing,04,b969a1b934dbf749,v2,95000,한섬 시스템,,,,,,,
04_womens_clothing-training-000069,04_womens_clothing,04,883cfab05e770c38,v2,560000,보웬,,,,,,,
04_womens_clothing-training-000070,04_womens_clothing,04,ab5cb18cc5b4adc1,v2,240000,YSL 생로랑 SAINT LAURENT,,,,,,,
04_womens_clothing-training-000071,04_womens_clothing,04,5276fa8c6e12e6e5,v2,125000,브룩스 브라더스,,,,,,,
04_womens_clothing-training-000072,04_womens_clothing,04,16c2945a8ecbd4a4,v2,80000,토리버치,,,,,,,
04_womens_clothing-training-000073,04_womens_clothing,04,6721b29c4027c71e,v2,460000,Theory,,,,,,,
04_womens_clothing-training-000074,04_womens_clothing,04,982ab24b1efa741c,v2,60000,리본타이,,,,,,,
04_womens_clothing-training-000075,04_womens_clothing,04,5276fa8c6e12e6e5,v2,125000,브룩스 브라더스,,,,,,,
04_womens_clothing-training-000076,04_womens_clothing,04,492ee46da0c85513,v2,80000,소미타,,,,,,,
04_womens_clothing-training-000077,04_womens_clothing,04,080bddfa303fb6ac,v2,40000,아이잗바바,,,,,,,
04_womens_clothing-training-000078,04_womens_clothing,04,4867e4f264d2e02c,v2,34000,스튜디오 톰보이,,,,,,,
04_womens_clothing-training-000079,04_womens_clothing,04,bf3d0c68f6a8f31d,v2,85000,MAX&CO,,,,,,,
04_womens_clothing-training-000080,04_womens_clothing,04,a8ca74ada0bf08f1,v2,290000,르에떼,,,,,,,
04_womens_clothing-training-000081,04_womens_clothing,04,671ef273acc36223,v2,485000,브라운야드,,,,,,,
04_womens_clothing-training-000082,04_womens_clothing,04,4feea01e8cf80763,v2,215231,산드로,,,,,,,
04_womens_clothing-training-000083,04_womens_clothing,04,98be830cddf85a44,v2,39000,써스데이아일랜드,,,,,,,
04_womens_clothing-training-000084,04_womens_clothing,04,4867e4f264d2e02c,v2,54000,스튜디오 톰보이,,,,,,,
04_womens_clothing-training-000085,04_womens_clothing,04,4feea01e8cf80763,v2,202049,산드로,,,,,,,
04_womens_clothing-training-000086,04_womens_clothing,04,31257c227efe1091,v2,30000,SJSJ,,,,,,,
04_womens_clothing-training-000087,04_womens_clothing,04,8b4e6c2f6c0944a8,v2,75000,SYSTEM,,,,,,,
04_womens_clothing-training-000088,04_womens_clothing,04,c5d0f2eac8359a4f,v2,100000,BAU 브라이드앤유,,,,,,,
04_womens_clothing-training-000089,04_womens_clothing,04,96ceff4ab8b67ea7,v2,11111,미니봉봉,,,,,,,
04_womens_clothing-training-000090,04_womens_clothing,04,96ceff4ab8b67ea7,v2,11111,미니봉봉,,,,,,,
04_womens_clothing-training-000091,04_womens_clothing,04,be26e46034ec08bf,v2,500000,R2W,,,,,,,
