item_id,category_name,category_code,spec_key_hash,hash_version,used_price,item_type,sport_category,brand,model_name,gender_target,handedness,trade_type,location_area
09_sports_leisure-training-000000,09_sports_leisure,09,089de61793732e18,v2,490000,,,엘파마,"레이다 R5800, 에포카 E5800",,,,
09_sports_leisure-training-000001,09_sports_leisure,09,14c7617b0b4dfd49,v2,555575,,,캘러웨이,스프린트,,,,
09_sports_leisure-training-000002,09_sports_leisure,09,7e7c9696458d23b9,v2,1150000,,,캐니언,Ultimate CF SL 8.0 Di2,,,,
09_sports_leisure-training-000003,09_sports_leisure,09,3a532c5444c484a3,v2,692474,,,테일러메이드,KP-O3,,,,
09_sports_leisure-training-000004,09_sports_leisure,09,0b91b462566a6b4a,v2,650000,,,캘러웨이,EDGE,,,,
09_sports_leisure-training-000005,09_sports_leisure,09,1467ccea77b29530,v2,305000,,,야마하,크릿디 2024,,,,
09_sports_leisure-training-000006,09_sports_leisure,09,b253ef8d387d4dc3,v2,430000,,,알톤,니모FD 에디션,,,,
09_sports_leisure-training-000007,09_sports_leisure,09,ecbd6fc79b298491,v2,75000,,,젝시오,MP300,,,,
09_sports_leisure-training-000008,09_sports_leisure,09,fade30f0e035d701,v2,1200000,,,자이언트,패스트로드 어드밴스 AR 1,,,,
09_sports_leisure-training-000009,09_sports_leisure,09,89147ea8ac2e8a99,v2,751275,,,미즈노,화이트핫 5,,,,
09_sports_leisure-training-000010,09_sports_leisure,09,b4fee045faecfee4,v2,590000,,,타이틀리스트,스프린트,,,,
09_sports_leisure-training-000011,09_sports_leisure,09,9e9683263e60bd03,v2,850000,,,비앙키,니로네7,,,,
09_sports_leisure-training-000012,09_sports_leisure,09,19e9cd26cd516dd6,v2,500000,,,엑사이더,ES590,,,,
09_sports_leisure-training-000013,09_sports_leisure,09,0449cf27eee055e8,v2,3700000,,,자이언트,프로0 디스크,,,,
09_sports_leisure-training-000014,09_sports_leisure,09,6882d3ebea5ea0a0,v2,550000,,,콘스탄틴,디스페랄 2022,,,,
09_sports_leisure-training-000015,09_sports_leisure,09,c60788dbeffeeed5,v2,620000,,,트위터,R10,,,,
09_sports_leisure-training-000016,09_sports_leisure,09,3fcc8ff16e259730,v2,250000,,,히로마쓰 모토,MK-GOLD,,,,
09_sports_leisure-training-000017,09_sports_leisure,09,a4c2d27566ca4ca3,v2,520000,,,KAISER,KP-O3,,,,
09_sports_leisure-training-000018,09_sports_leisure,09,d87e72a74e2fafa5,v2,990000,,,세임 바이커,GO9,,,,
09_sports_leisure-training-000019,09_sports_leisure,09,a9eba576530636d5,v2,150000,,,벨로라인,INPRES RMX CB FORGED,,,,
09_sports_leisure-training-000020,09_sports_leisure,09,b4fee045faecfee4,v2,590000,,,타이틀리스트,헌터브로스V1,,,,
09_sports_leisure-training-000021,09_sports_leisure,09,14c7617b0b4dfd49,v2,429931,,,캘러웨이,크릿디 2024,,,,
09_sports_leisure-training-000022,09_sports_leisure,09,3a532c5444c484a3,v2,689645,,,테일러메이드,앤서,,,,
09_sports_leisure-training-000023,09_sports_leisure,09,8b19c1d973325455,v2,450000,,,메리다,스컬트라300,,,,
09_sports_leisure-training-000024,09_sports_leisure,09,b4fee045faecfee4,v2,890000,,,타이틀리스트,스컬트라 100 2025,,,,
09_sports_leisure-training-000025,09_sports_leisure,09,372d05f7ad18103d,v2,2400000,,,스캇,RC TEAM,,,,
09_sports_leisure-training-000026,09_sports_leisure,09,b34a95203b7a4c67,v2,59000,,,핑,앤서,,,,
09_sports_leisure-training-000027,09_sports_leisure,09,89147ea8ac2e8a99,v2,728341,,,미즈노,스컬트라300,,,,
09_sports_leisure-training-000028,09_sports_leisure,09,f1a50f97f2a77f00,v2,740000,,,투어스테이지,STILO,,,,
09_sports_leisure-training-000029,09_sports_leisure,09,e927129b206e03bc,v2,58000,,,스팔딩,타입9,,,,
09_sports_leisure-training-000030,09_sports_leisure,09,9e9683263e60bd03,v2,850000,,,비앙키,니로네7,,,,
09_sports_leisure-training-000031,09_sports_leisure,09,b5257b9dfa2d3cac,v2,1350000,,,인피자,HT500,,,,
09_sports_leisure-training-000032,09_sports_leisure,09,89147ea8ac2e8a99,v2,710389,,,미즈노,INPRES RMX CB FORGED,,,,
09_sports_leisure-training-000033,09_sports_leisure,09,83d939bc6f43fafe,v2,400000,,,로드마스터,룰렛,,,,
09_sports_leisure-training-000034,09_sports_leisure,09,553c6ea8155f2b61,v2,5900000,,,트리곤,Ultimate CF SL 8.0 Di2,,,,
09_sports_leisure-training-000035,09_sports_leisure,09,fb78d8a1143a6991,v2,450000,,,엔진11,크릿디,,,,
09_sports_leisure-training-000036,09_sports_leisure,09,bfb5e30aeedf6b33,v2,520000,,,다이와,G-three,,,,
09_sports_leisure-training-000037,09_sports_leisure,09,29e51dd16d670b29,v2,430000,,,삼천리,칼라스 70,,,,
09_sports_leisure-training-000038,09_sports_leisure,09,89147ea8ac2e8a99,v2,809800,,,미즈노,Tarmac SL5,,,,
09_sports_leisure-training-000039,09_sports_leisure,09,38790ba43769da2e,v2,100000,,,젝시오,MP600,,,,
09_sports_leisure-training-000040,09_sports_leisure,09,4ef1acd64ab14163,v2,430000,,,엘파마,FCR2,,,,
09_sports_leisure-training-000041,09_sports_leisure,09,836709c137a7d758,v2,1080000,,,BESV,핏큐브 바이크,,,,
09_sports_leisure-training-000042,09_sports_leisure,09,89147ea8ac2e8a99,v2,729815,,,미즈노,리볼트 어드밴스 프로 1,,,,
09_sports_leisure-training-000043,09_sports_leisure,09,54dde0f8dfb65746,v2,490000,,,메리다,904,,,,
09_sports_leisure-training-000044,09_sports_leisure,09,e977372b5bdc1e8a,v2,980000,,,트렉,SL5 디스크,,,,
09_sports_leisure-training-000045,09_sports_leisure,09,e0254356d0460b90,v2,84000,,,스릭슨,Z TX,,,,
09_sports_leisure-training-000046,09_sports_leisure,09,5b3194901442bc35,v2,410000,,,XDS,MP600,,,,
09_sports_leisure-training-000047,09_sports_leisure,09,3a532c5444c484a3,v2,565313,,,테일러메이드,HT500,,,,
09_sports_leisure-training-000048,09_sports_leisure,09,1467ccea77b29530,v2,305000,,,야마하,카멜레온,,,,
09_sports_leisure-training-000049,09_sports_leisure,09,14c7617b0b4dfd49,v2,279311,,,캘러웨이,스컬트라300,,,,
09_sports_leisure-training-000050,09_sports_leisure,09,14c7617b0b4dfd49,v2,307334,,,캘러웨이,앤서,,,,
09_sports_leisure-training-000051,09_sports_leisure,09,6acb0639029ff3ec,v2,980000,,,자이언트,TCR Advanced 1 KOM,,,,
09_sports_leisure-training-000052,09_sports_leisure,09,6b866c16a2a0ef8f,v2,1300000,,,비앙키,스프린트,,,,
09_sports_leisure-training-000053,09_sports_leisure,09,89147ea8ac2e8a99,v2,759332,,,미즈노,화이트핫 5,,,,
09_sports_leisure-training-000054,09_sports_leisure,09,c60788dbeffeeed5,v2,620000,,,트위터,R10,,,,
09_sports_leisure-training-000055,09_sports_leisure,09,3a532c5444c484a3,v2,509482,,,테일러메이드,크릿디,,,,
09_sports_leisure-training-000056,09_sports_leisure,09,7e31be02bdacf5c3,v2,450000,,,이와키,XV 2.4,,,,
09_sports_leisure-training-000057,09_sports_leisure,09,deb6d59be8f66f19,v2,68000,,,테일러메이드,XR 포지드,,,,
09_sports_leisure-training-000058,09_sports_leisure,09,14c7617b0b4dfd49,v2,639775,,,캘러웨이,솔레이어 105,,,,
09_sports_leisure-training-000059,09_sports_leisure,09,19e9cd26cd516dd6,v2,500000,,,엑사이더,ES590,,,,
09_sports_leisure-training-000060,09_sports_leisure,09,9e9683263e60bd03,v2,850000,,,비앙키,니로네7,,,,
09_sports_leisure-training-000061,09_sports_leisure,09,376e30da7d76fc30,v2,17000,,,넥스젠,ND001,,,,
09_sports_leisure-training-000062,09_sports_leisure,09,c60788dbeffeeed5,v2,620000,,,트위터,R10,,,,
09_sports_leisure-training-000063,09_sports_leisure,09,e927129b206e03bc,v2,58000,,,스팔딩,타입9,,,,
09_sports_leisure-training-000064,09_sports_leisure,09,e977372b5bdc1e8a,v2,980000,,,트렉,SL5 디스크,,,,
09_sports_leisure-training-000065,09_sports_leisure,09,deb6d59be8f66f19,v2,68000,,,테일러메이드,XR 포지드,,,,
09_sports_leisure-training-000066,09_sports_leisure,09,65fb9d3cf0bd7000,v2,750000,,,투어스테이지,V300 III,,,,
09_sports_leisure-training-000067,09_sports_leisure,09,cf8580d3112f937c,v2,1200000,,,슬릭엣지,스컬트라 100 2025,,,,
09_sports_leisure-training-000068,09_sports_leisure,09,3a532c5444c484a3,v2,850000,,,테일러메이드,파이톤 20,,,,
09_sports_leisure-training-000069,09_sports_leisure,09,902dd503fe8808a2,v2,390000,,,엘로드,FCR2,,,,
09_sports_leisure-training-000070,09_sports_leisure,09,fc8711b705206014,v2,70000,,,삼천리,펠릭스,,,,
09_sports_leisure-training-000071,09_sports_leisure,09,89147ea8ac2e8a99,v2,714769,,,미즈노,프로펠 어드벤스 프로0 di2,,,,
09_sports_leisure-training-000072,09_sports_leisure,09,6cdac14713f1f136,v2,1190000,,,핑,리파인드 7,,,,
09_sports_leisure-training-000073,09_sports_leisure,09,cef633911195a476,v2,160000,,,쓰루야,Quincy,,,,
09_sports_leisure-training-000074,09_sports_leisure,09,d41dcc34ffc9ad3d,v2,930000,,,휠러,CHILI,,,,
09_sports_leisure-training-000075,09_sports_leisure,09,b4fee045faecfee4,v2,890000,,,타이틀리스트,TCR 어드밴스 2 KOM 2024,,,,
09_sports_leisure-training-000076,09_sports_leisure,09,3fcc8ff16e259730,v2,250000,,,히로마쓰 모토,MK-GOLD,,,,
09_sports_leisure-training-000077,09_sports_leisure,09,9783a760b3a6a838,v2,200000,,,데이비드,712,,,,
09_sports_leisure-training-000078,09_sports_leisure,09,553c6ea8155f2b61,v2,5900000,,,트리곤,패스트로드 어드밴스 AR 1,,,,
09_sports_leisure-training-000079,09_sports_leisure,09,4ef1acd64ab14163,v2,430000,,,엘파마,FCR2,,,,
09_sports_leisure-training-000080,09_sports_leisure,09,902dd503fe8808a2,v2,390000,,,엘로드,GO9,,,,
