item_id,category_name,category_code,spec_key_hash,hash_version,used_price,item_main_type,item_sub_type,brand,model_name,condition_grade,set_or_single,component_count,key_components
16_etc-training-000000,16_etc,16,3203e6f8965d0701,v2,35000,,,세이즈,X2,,,,
16_etc-training-000001,16_etc,16,11ca21b5479c1a3f,v2,0,,,천지건업,매직 스페이서,,,,
16_etc-training-000002,16_etc,16,39b97ccbbc492cb6,v2,800000,,,캠프타운,빅돔s,,,,
16_etc-training-000003,16_etc,16,49d7edc5ae3aee4f,v2,0,,,Apple,AirPods Pro 3세대,,,,
16_etc-training-000004,16_etc,16,2686a51c864eed4d,v2,9000,,,린나이,REH-221S,,,,
16_etc-training-000005,16_etc,16,a9ab613154ffa03b,v2,31000,,,스노우피크,매직 스페이서,,,,
16_etc-training-000006,16_etc,16,d2422c12263e391c,v2,170000,,,코지모해,티탄 싱글 머그 220 300 450,,,,
16_etc-training-000007,16_etc,16,115a8f732f8cd27c,v2,40000,,,벤츠,기브앤레이스 텐트,,,,
16_etc-training-000008,16_etc,16,6196ddd4d4cf5be9,v2,500,,,NCT 2020,매직 레드 베어 트레이,,,,
16_etc-training-000009,16_etc,16,77aea3d64a9b4ad4,v2,0,,,NOOL,예튼3.4,,,,
16_etc-training-000010,16_etc,16,230be0decc7220c6,v2,50000,,,콜맨,벙커돔 버전 3,,,,
16_etc-training-000011,16_etc,16,6cb4de24aaa5c880,v2,1111111,,,레고,45qt,,,,
16_etc-training-000012,16_etc,16,284f7a1b1253d5e5,v2,30000,,,펜소닉,AirPods Pro 3세대,,,,
16_etc-training-000013,16_etc,16,ca1552c7db86652b,v2,1650000,,,스노우라인,프라임디럭스,,,,
16_etc-training-000014,16_etc,16,ce3440e326c8d0e1,v2,45000,,,라푸마,럭스쉐이드,,,,
16_etc-training-000015,16_etc,16,9fd9f86c74172eaa,v2,0,,,삼익,NJZ,,,,
16_etc-training-000016,16_etc,16,b9e764bb19ba6196,v2,0,,,버거킹,프라임디럭스,,,,
16_etc-training-000017,16_etc,16,3d3a0b836c1fa787,v2,100000,,,INOTA,다우니페더 덕다운침낭 2100g,,,,
